timestamp,avg_dwell_time,avg_flight_time,error_ratio
2024-06-14T14:04:47.575796,0.12202,0.23861,0.01
2024-06-14T14:04:48.575796,0.12106,0.23533,0.0
2024-06-14T14:04:49.575796,0.12065,0.20097,0.0
2024-06-14T14:04:50.575796,0.11916,0.19769,0.0
2024-06-14T14:04:51.575796,0.11657,0.19316,0.0
2024-06-14T14:04:52.575796,0.11613,0.17361,0.0
2024-06-14T14:04:53.575796,0.11806,0.17601,0.0
2024-06-14T14:04:54.575796,0.11789,0.18089,0.0
2024-06-14T14:04:55.575796,0.11907,0.18762,0.0
2024-06-14T14:04:56.575796,0.11893,0.18824,0.0
2024-06-14T14:04:57.575796,0.11924,0.19944,0.0
2024-06-14T14:04:58.575796,0.11717,0.22022,0.0
2024-06-14T14:04:59.575796,0.11709,0.22389,0.0
2024-06-14T14:05:00.575796,0.11846,0.21058,0.0
2024-06-14T14:05:01.575796,0.11981,0.18722,0.0
2024-06-14T14:05:02.575796,0.11909,0.19211,0.0
2024-06-14T14:05:03.575796,0.12043,0.1753,0.0
2024-06-14T14:05:04.575796,0.12032,0.18287,0.0
2024-06-14T14:05:05.575796,0.11802,0.18788,0.0
2024-06-14T14:05:06.575796,0.11736,0.21804,0.0
2024-06-14T14:05:07.575796,0.11903,0.19845,0.0
2024-06-14T14:05:08.575796,0.11861,0.19288,0.0
2024-06-14T14:05:09.575796,0.11805,0.20201,0.0
2024-06-14T14:05:10.575796,0.12056,0.21852,0.0
2024-06-14T14:05:11.575796,0.12018,0.20486,0.0
2024-06-14T14:05:12.575796,0.12017,0.23224,0.0
2024-06-14T14:05:13.575796,0.11937,0.23424,0.0
2024-06-14T14:05:14.575796,0.11894,0.21616,0.0
2024-06-14T14:05:15.575796,0.11872,0.22041,0.0
2024-06-14T14:05:16.575796,0.11949,0.23354,0.0
2024-06-14T14:05:17.575796,0.11952,0.21733,0.0
2024-06-14T14:05:18.575796,0.12036,0.23456,0.0
2024-06-14T14:05:19.575796,0.12143,0.26217,0.0
2024-06-14T14:05:20.575796,0.118,0.25683,0.0
2024-06-14T14:05:21.575796,0.11816,0.2438,0.0
2024-06-14T14:05:22.575796,0.11789,0.23038,0.01
2024-06-14T14:05:23.575796,0.1173,0.21857,0.01
2024-06-14T14:05:24.575796,0.11882,0.19774,0.01
2024-06-14T14:05:25.575796,0.12063,0.18451,0.01
2024-06-14T14:05:26.575796,0.12146,0.19078,0.01
2024-06-14T14:05:27.575796,0.12084,0.21579,0.0
2024-06-14T14:05:28.575796,0.12115,0.22191,0.0
2024-06-14T14:05:29.575796,0.11897,0.22381,0.0
2024-06-14T14:05:30.575796,0.11939,0.21419,0.0
2024-06-14T14:05:31.575796,0.11877,0.21352,0.0
2024-06-14T14:05:32.575796,0.11931,0.20604,0.0
2024-06-14T14:05:33.575796,0.11779,0.19215,0.0
2024-06-14T14:05:34.575796,0.11815,0.1874,0.0
2024-06-14T14:05:35.575796,0.11838,0.20608,0.0
2024-06-14T14:05:36.575796,0.11997,0.20521,0.0
2024-06-14T14:05:37.575796,0.12022,0.20681,0.0
2024-06-14T14:05:38.575796,0.11972,0.21075,0.0
2024-06-14T14:05:39.575796,0.12012,0.24341,0.0
2024-06-14T14:05:40.575796,0.12009,0.24238,0.0
2024-06-14T14:05:41.575796,0.11817,0.22895,0.0
2024-06-14T14:05:42.575796,0.11906,0.23722,0.0
2024-06-14T14:05:43.575796,0.12177,0.22839,0.0
2024-06-14T14:05:44.575796,0.12311,0.18974,0.0
2024-06-14T14:05:45.575796,0.12389,0.20863,0.0
2024-06-14T14:05:46.575796,0.12293,0.21465,0.0
2024-06-14T14:05:47.575796,0.12189,0.2021,0.0
2024-06-14T14:05:48.575796,0.11955,0.21188,0.0
2024-06-14T14:05:49.575796,0.11708,0.23063,0.0
2024-06-14T14:05:50.575796,0.11558,0.22423,0.0
2024-06-14T14:05:51.575796,0.11578,0.22667,0.0
